Tournament,Year,Venue,Winner,Runner-up,Semi-Finalists,Match_Winner_Final,Player_of_Tournament
ODI World Cup,1975,England,West Indies,Australia,"WI, AUS, NZ, ENG",Clive Lloyd,-
ODI World Cup,1979,England,West Indies,England,"WI, ENG, PAK, NZ",Viv Richards,-
ODI World Cup,1983,England,India,West Indies,"IND, WI, PAK, ENG",M. Amarnath,-
ODI World Cup,1987,India/PAK,Australia,England,"AUS, ENG, IND, PAK",David Boon,-
ODI World Cup,1992,AUS/NZ,Pakistan,England,"PAK, ENG, NZ, SA",Wasim Akram,Martin Crowe
ODI World Cup,1996,Asia,Sri Lanka,Australia,"SL, AUS, IND, WI",A. de Silva,Sanath Jayasuriya
ODI World Cup,1999,England,Australia,Pakistan,"AUS, PAK, SA, NZ",Shane Warne,Lance Klusener
ODI World Cup,2003,South Africa,Australia,India,"AUS, IND, KEN, SL",Ricky Ponting,Sachin Tendulkar
ODI World Cup,2007,West Indies,Australia,Sri Lanka,"AUS, SL, NZ, SA",Adam Gilchrist,Glenn McGrath
ODI World Cup,2011,Asia,India,Sri Lanka,"IND, SL, PAK, NZ",MS Dhoni,Yuvraj Singh
ODI World Cup,2015,AUS/NZ,Australia,New Zealand,"AUS, NZ, IND, SA",James Faulkner,Mitchell Starc
ODI World Cup,2019,UK,England,New Zealand,"ENG, NZ, IND, AUS",Ben Stokes,Kane Williamson
ODI World Cup,2023,India,Australia,India,"AUS, IND, NZ, SA",Travis Head,Virat Kohli
T20 World Cup,2007,South Africa,India,Pakistan,"IND, PAK, AUS, NZ",Irfan Pathan,Shahid Afridi
T20 World Cup,2009,England,Pakistan,Sri Lanka,"PAK, SL, SA, WI",Shahid Afridi,T. Dilshan
T20 World Cup,2010,West Indies,England,Australia,"ENG, AUS, SL, PAK",C. Kieswetter,K. Pietersen
T20 World Cup,2012,Sri Lanka,West Indies,Sri Lanka,"WI, SL, AUS, PAK",Marlon Samuels,Shane Watson
T20 World Cup,2014,Bangladesh,Sri Lanka,India,"SL, IND, WI, SA",K. Sangakkara,Virat Kohli
T20 World Cup,2016,India,West Indies,England,"WI, ENG, IND, NZ",Marlon Samuels,Virat Kohli
T20 World Cup,2021,UAE/Oman,Australia,New Zealand,"AUS, NZ, PAK, ENG",Mitchell Marsh,David Warner
T20 World Cup,2022,Australia,England,Pakistan,"ENG, PAK, IND, NZ",Sam Curran,Sam Curran
T20 World Cup,2024,USA/WI,India,South Africa,"IND, SA, ENG, AFG",Virat Kohli,J. Bumrah
Champions Trophy,1998,Bangladesh,South Africa,West Indies,"SA, WI, IND, SL",Jacques Kallis,Jacques Kallis
Champions Trophy,2000,Kenya,New Zealand,India,"NZ, IND, PAK, SA",Chris Cairns,-
Champions Trophy,2002,Sri Lanka,IND/SL Joint,-,"IND, SL, AUS, SA",-,-
Champions Trophy,2004,England,West Indies,England,"WI, ENG, PAK, AUS",Ian Bradshaw,R. Sarwan
Champions Trophy,2006,India,Australia,West Indies,"AUS, WI, NZ, SA",Shane Watson,Chris Gayle
Champions Trophy,2009,South Africa,Australia,New Zealand,"AUS, NZ, ENG, PAK",Shane Watson,Ricky Ponting
Champions Trophy,2013,UK,India,England,"IND, ENG, SL, SA",R. Jadeja,Shikhar Dhawan
Champions Trophy,2017,UK,Pakistan,India,"PAK, IND, ENG, BAN",Fakhar Zaman,Hasan Ali
Champions Trophy,2025,PAK/UAE,India,New Zealand,"IND, NZ, AUS, SA",Rohit Sharma,Rachin Ravindra
